Timestamp, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_qw, mag_qx, mag_qy, ss_qx, ss_qy, ss_qz, ss_qw, stillness
11, -0.007330167, 0.03176406, 0.007330167, -0.0144043, 1.009033, 0.006347656, -0.03521363, -0.2567076, 0.2358283, 0.0002063709, -0.001267255, -0.0007596648, 0.9999989, 0.3333333
140, -0.01221694, 0.01221694, -0.008551861, -0.01147461, 1.012695, 0.01074219, -0.03578778, -0.2565025, 0.2361877, -3.462541E-06, -2.142374E-05, 8.144416E-07, 1, 0.6629103
148, -0.006108472, 0.01710372, -0.001221695, -0.008300781, 1.01123, 0.01318359, -0.03579644, -0.2565046, 0.2361572, 1.038855E-05, -3.206638E-05, 4.315283E-06, 1, 0.9944429
160, -0.01221694, 0.01832542, 0.008551861, -0.009277344, 1.009033, 0.01074219, -0.03577786, -0.2564938, 0.2361132, -3.418018E-05, 1.812648E-05, 9.491923E-06, 1, 0.9944429
168, -0.01343864, 0.006108472, -0.01832542, -0.01220703, 1.013184, 0.008300781, -0.03574139, -0.2564833, 0.2360883, -2.184196E-05, -1.404376E-06, 2.646807E-05, 1, 0.9938111
178, -0.003665083, 0.006108472, 0.001221695, -0.0144043, 1.010742, 0.003173828, -0.03574234, -0.2564821, 0.2361006, -4.93605E-05, -2.284293E-05, -2.009922E-05, 1, 0.9944789
186, -0.01343864, 0.02076881, 0.006108472, -0.01245117, 1.010986, 0.009765625, -0.0357796, -0.2564901, 0.236149, -6.753672E-05, -1.308652E-05, 5.65045E-06, 1, 0.9929988
199, -0.01221694, 0.01343864, -0.003665083, -0.01635742, 1.012451, 0.0078125, -0.03576135, -0.2564613, 0.2361964, -0.0001005049, 2.799407E-05, 2.612965E-05, 1, 0.9939024
208, -0.006108472, 0.01343864, -0.006108472, -0.01074219, 1.009521, 0.01074219, -0.03577116, -0.256474, 0.236211, -3.571477E-05, 3.774365E-05, 5.0109E-05, 1, 0.9950354
218, -0.009773556, 0.002443389, -0.009773556, -0.01293945, 1.012451, 0.01220703, -0.03586261, -0.2565186, 0.2362207, -6.054464E-05, 5.272545E-05, 4.41937E-05, 1, 0.993039
229, -0.002443389, 0.009773556, -0.01710372, -0.01489258, 1.010498, 0.005615234, -0.03590638, -0.2565348, 0.2362027, -8.085801E-05, 4.213575E-05, 4.345423E-05, 1, 0.9956924
237, -0.009773556, 0.009773556, 0.01832542, -0.01342773, 1.01123, 0.01269531, -0.03590386, -0.2565234, 0.2361577, -3.226835E-05, 2.198735E-05, 2.824445E-05, 1, 0.9938268
251, -0.01466033, 0.01221694, 0.003665083, -0.01245117, 1.010986, 0.007324219, -0.0359014, -0.2565488, 0.2361867, -1.313491E-05, 1.979346E-05, 6.544043E-05, 1, 0.9958506
261, -0.01221694, 0.01710372, 0.001221695, -0.008789063, 1.009766, 0.008789063, -0.03589898, -0.2565553, 0.2361876, -5.549064E-05, 6.752081E-05, 7.444364E-05, 1, 0.9966817
269, -0.01343864, 0, -0.006108472, -0.01293945, 1.018555, 0.007324219, -0.0358771, -0.2565469, 0.2361574, -4.907855E-05, 5.088485E-05, 8.386606E-05, 1, 0.9869965
278, -0.002443389, 0.01588203, -0.004886778, -0.015625, 1.007813, 0.007324219, -0.03583864, -0.2565536, 0.2361499, -0.0001139471, 8.88964E-05, 7.795624E-05, 1, 0.9884491
288, -0.003665083, 0.01466033, 0.004886778, -0.01245117, 1.010742, 0.007324219, -0.03576445, -0.2565966, 0.2361425, -9.940134E-05, 0.0001080692, 7.424387E-05, 1, 0.9873219
298, -0.01832542, 0.003665083, -0.004886778, -0.01098633, 1.009277, 0.008789063, -0.0357376, -0.2566296, 0.2361445, -8.560944E-05, 0.0001127901, 8.685701E-05, 1, 0.9988728
307, -0.01954711, 0.02076881, -0.002443389, -0.01513672, 1.005371, 0.01269531, -0.0357567, -0.2566528, 0.2361555, -0.0001048323, 8.757772E-05, 0.0001065554, 1, 0.9988728
320, -0.007330167, 0.01221694, 0.001221695, -0.01342773, 1.014893, 0.01025391, -0.03572064, -0.2566574, 0.2361845, -0.0001192341, 9.057642E-05, 8.753687E-05, 1, 0.9932892
330, -0.008551861, -0.006108472, -0.001221695, -0.0144043, 1.008301, 0.007568359, -0.03569448, -0.2566527, 0.2362038, -0.0001261165, 3.310337E-05, 7.871503E-05, 1, 0.9932892
339, -0.006108472, 0.02076881, -0.008551861, -0.01123047, 1.01123, 0.008789063, -0.03567894, -0.2566322, 0.2362276, -0.0001461115, 2.070257E-05, 0.0001372977, 1, 0.9915145
348, -0.004886778, 0.01343864, 0.002443389, -0.01416016, 1.009521, 0.009277344, -0.03568095, -0.2566189, 0.2362552, -0.000131117, 2.565025E-05, 0.0001159876, 1, 0.9982254
357, 0.003665083, 0.01954711, 0.009773556, -0.01123047, 1.014893, 0.01171875, -0.03568292, -0.2566424, 0.2362823, -0.0001312632, 3.606589E-05, 0.0001651458, 1, 0.991529
366, -0.004886778, 0.01343864, 0.008551861, -0.01147461, 1.010986, 0.009277344, -0.03572136, -0.2566288, 0.2362905, -0.0001104175, 5.65909E-05, 0.0001631082, 1, 0.991845
382, -0.01099525, 0.008551861, 0.01099525, -0.01171875, 1.01001, 0.009765625, -0.03572233, -0.2566431, 0.2362803, -4.25498E-05, -1.607201E-06, 0.0001960616, 1, 0.9916785
390, 0.002443389, 0.01221694, 0.001221695, -0.01220703, 1.010742, 0.01123047, -0.03568696, -0.2566843, 0.2362521, -3.892364E-05, 2.676068E-06, 0.0001943182, 0.9999999, 0.9972038
400, -0.004886778, 0.01099525, -0.001221695, -0.01806641, 1.010498, 0.01416016, -0.03574422, -0.2566629, 0.2363198, -4.998222E-05, 2.923142E-05, 0.0001986201, 1, 0.9976507
